id;pg_transaction_id;client_transaction_type;client_transaction_id;pg_status;transactioninit_date;status_update_date;amount;redirection_url;payment_aggregator;paymentgateway;payment_status;payment_method;created_time;updated_time;created_by;updated_by
1;Soap killer;ORDER_PAYMNET;79884;core Rustic;2022-06-13T05:03:46;2022-06-13T05:43:30;44370;wireless Buckinghamshire;JIOCREDITS;RAZORPAY;PENDING;NET_BANKING;2022-06-13T00:28:49;2022-06-12T21:02:05;product Fish Infrastructure;PNG Avon Belarussian
2;Wooden;ORDER_PAYMNET;50235;payment;2022-06-13T06:06:31;2022-06-12T19:59:06;39104;Functionality;JIOPG;JIOCREDITS;FAILURE;NET_BANKING;2022-06-13T02:26:47;2022-06-12T21:23:53;Steel haptic Key;Accountability
3;compressing Vermont;ORDER_PAYMNET;34018;Polynesia Legacy;2022-06-12T09:26:22;2022-06-12T08:53:37;53116;transmit;JIOPG;JIOCREDITS;PENDING;EMI;2022-06-13T07:00:18;2022-06-12T14:42:18;Account Table Rubber;Pass
4;Awesome Metrics Azerbaijan;LEDGER_CREDIT;74324;New incubate Beauty;2022-06-12T16:48:32;2022-06-13T04:04:27;84465;Kids Accountability;JIOPG;JIOCREDITS;FAILURE;CREDITCARD;2022-06-12T09:34:34;2022-06-12T13:43:19;PNG target multi-state;Parkway discrete
5;mobile salmon wireless;ORDER_PAYMNET;48318;payment feed methodology;2022-06-13T02:54:04;2022-06-12T08:48:14;39473;Car Utah;JIOCREDITS;JIOCREDITS;PENDING;JIOCREDITS;2022-06-12T19:38:07;2022-06-12T14:35:20;pixel;user-centric Salad
6;Handmade reboot;ORDER_PAYMNET;67441;back-end Algerian;2022-06-13T03:54:32;2022-06-12T17:59:02;94654;overriding;JIOCREDITS;JUSPAY;PENDING;DEBITCARD;2022-06-12T23:55:55;2022-06-12T08:18:31;Manager;Loan Sleek Dalasi
7;online;ORDER_PAYMNET;20003;Georgia Pizza Card;2022-06-12T19:54:34;2022-06-12T09:52:15;44659;invoice impactful;JIOPG;JUSPAY;SUCCESSFUL;UPI;2022-06-12T14:48:40;2022-06-13T05:20:29;Computer Metal Representative;Salvador
8;client-driven;LEDGER_CREDIT;81731;redundant Dollar;2022-06-12T11:53:26;2022-06-12T21:21:59;73367;Developer;JIOPG;JUSPAY;FAILURE;NET_BANKING;2022-06-12T22:47:03;2022-06-13T02:05:34;Convertible frame;Berkshire
9;Home best-of-breed Baby;LEDGER_CREDIT;41085;transparent;2022-06-12T17:27:01;2022-06-12T20:49:57;98209;Namibia Implementation;JIOPG;JUSPAY;PENDING;DEBITCARD;2022-06-13T07:23:08;2022-06-12T14:48:13;Supervisor mobile;Executive Skyway Clothing
10;primary Metal;LEDGER_CREDIT;24766;Metrics;2022-06-12T20:19:12;2022-06-13T05:23:14;29358;Vision-oriented Chips Facilitator;JIOCREDITS;RAZORPAY;PENDING;EMI;2022-06-12T18:17:56;2022-06-13T07:41:44;3rd Soap;software
